ticker,sarimax_order,exog_coef,exog_pvalue,sigma2,aic,n_obs,ljung_box_q,jarque_bera,heteroskedasticity_h,prob_jb,durbin_watson,exog_type
FSLR,"(1,2,0)",-0.6277,0.006,1.7723,48.833,15,0.51,0.10,3.38,0.95,1.980,AR(1)
GE,"(0,2,1)",-0.9886,0.000,26.6855,1526.038,250,0.23,22656.32,0.17,0.00,2.042,MA(1)
NEE,"(3,2,0)",-0.7095,0.000,7.9589,868.336,177,0.77,5025.65,0.07,0.00,2.033,AR(1)
TSLA,"(0,2,2)",-1.1857,0.000,31.4136,183.703,30,0.04,0.69,1.81,0.71,2.011,MA(1)
PLUG,"(2,2,0)",-0.7191,0.000,9.7168,379.779,75,0.36,3019.87,0.01,0.00,2.044,AR(1)
