ticker,arima_order,seps_coef,seps_std_err,seps_zvalue,seps_pvalue,sigma2,aic,bic,ljung_box_q,jarque_bera,heteroskedasticity_h,skew,kurtosis,prob_q,prob_jb,prob_h,durbin_watson_arima,durbin_watson_sarimax,shapiro_wilk_p
FSLR,"(0,1,0)",-1.0006,5.468,-0.183,0.855,362.4978,335.778,339.053,0.81,4.98,10.16,-0.48,4.49,0.37,0.08,0.00,1.302,1.304,0.118
GE,"(0,1,0)",-2.7165,3.104,-0.875,0.381,204.7719,314.07,317.345,2.03,3.48,1.55,-0.67,3.65,0.15,0.18,0.44,1.169,1.153,0.000
NEE,"(0,1,0)",-14.3112,28.713,-0.498,0.618,24.3975,233.229,236.505,0.01,75.01,15.24,-1.76,8.92,0.93,0.00,0.00,1.318,1.276,0.001
TSLA,"(0,1,0)",27.8397,71.620,0.389,0.697,1657.4672,393.54,396.815,0.00,30.94,494.47,1.23,6.67,0.97,0.00,0.00,1.903,1.902,0.000
PLUG,"(0,1,0)",37.1177,13.895,2.671,0.008,38.6642,250.726,254.001,0.36,12.42,73.70,0.82,5.28,0.55,0.00,0.00,2.294,2.182,0.001
